2024-05-22 20:00:21,639 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.crt' and 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.key' are in the correct directory.
2024-05-22 20:02:29,982 - SSL certificate or key file not found. Make sure 'C:\Users\91967\OneDrive\Documents\distributed systems\proj\proj\smtg\server.csr' and '/home/akhilesh/Desktop/DS+Comp_sec/cs/server.key' are in the correct directory.
2024-05-22 20:27:35,692 - Server started. Listening on 127.0.0.1:8443
2024-05-22 20:27:35,692 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:27:35,692 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:32:19,824 - Connected by ('127.0.0.1', 48418)
2024-05-22 20:32:19,828 - Connected by ('127.0.0.1', 48430)
2024-05-22 20:32:19,834 - Connected by ('127.0.0.1', 48434)
2024-05-22 20:32:19,837 - Connected by ('127.0.0.1', 48448)
2024-05-22 20:32:19,855 - Connected by ('127.0.0.1', 48464)
2024-05-22 20:32:19,858 - Connected by ('127.0.0.1', 48468)
2024-05-22 20:32:19,861 - Connected by ('127.0.0.1', 48472)
2024-05-22 20:32:19,863 - Connected by ('127.0.0.1', 48488)
2024-05-22 20:32:19,866 - Connected by ('127.0.0.1', 48494)
2024-05-22 20:32:19,883 - Connected by ('127.0.0.1', 48500)
2024-05-22 20:32:19,896 - Connected by ('127.0.0.1', 48508)
2024-05-22 20:32:19,901 - Connected by ('127.0.0.1', 48516)
2024-05-22 20:32:19,928 - Connected by ('127.0.0.1', 48532)
2024-05-22 20:32:19,937 - Connected by ('127.0.0.1', 48548)
2024-05-22 20:32:19,945 - Connected by ('127.0.0.1', 48556)
2024-05-22 20:32:19,949 - Connected by ('127.0.0.1', 48560)
2024-05-22 20:32:19,956 - Connected by ('127.0.0.1', 48562)
2024-05-22 20:32:19,968 - Connected by ('127.0.0.1', 48576)
2024-05-22 20:32:19,979 - Connected by ('127.0.0.1', 48586)
2024-05-22 20:32:19,983 - Connected by ('127.0.0.1', 48594)
2024-05-22 20:32:19,986 - Connected by ('127.0.0.1', 48598)
2024-05-22 20:32:19,989 - Connected by ('127.0.0.1', 48612)
2024-05-22 20:32:20,003 - Connected by ('127.0.0.1', 48618)
2024-05-22 20:32:20,010 - Connected by ('127.0.0.1', 48632)
2024-05-22 20:32:20,017 - Connected by ('127.0.0.1', 48642)
2024-05-22 20:32:20,020 - Connected by ('127.0.0.1', 48644)
2024-05-22 20:32:20,030 - Connected by ('127.0.0.1', 48650)
2024-05-22 20:32:20,041 - Connected by ('127.0.0.1', 48652)
2024-05-22 20:32:20,046 - Connected by ('127.0.0.1', 48662)
2024-05-22 20:32:20,049 - Connected by ('127.0.0.1', 48670)
2024-05-22 20:32:20,052 - Connected by ('127.0.0.1', 48686)
2024-05-22 20:32:20,075 - Connected by ('127.0.0.1', 48696)
2024-05-22 20:32:20,093 - Connected by ('127.0.0.1', 48710)
2024-05-22 20:32:20,098 - Connected by ('127.0.0.1', 48716)
2024-05-22 20:32:20,103 - Connected by ('127.0.0.1', 48720)
2024-05-22 20:32:20,119 - Connected by ('127.0.0.1', 48726)
2024-05-22 20:32:20,124 - Connected by ('127.0.0.1', 48730)
2024-05-22 20:32:20,127 - Connected by ('127.0.0.1', 48744)
2024-05-22 20:32:20,133 - Connected by ('127.0.0.1', 48760)
2024-05-22 20:32:20,136 - Connected by ('127.0.0.1', 48766)
2024-05-22 20:32:20,143 - Connected by ('127.0.0.1', 48782)
2024-05-22 20:32:20,157 - Connected by ('127.0.0.1', 48790)
2024-05-22 20:32:20,160 - Connected by ('127.0.0.1', 48794)
2024-05-22 20:32:20,168 - Connected by ('127.0.0.1', 48802)
2024-05-22 20:32:20,175 - Connected by ('127.0.0.1', 48818)
2024-05-22 20:32:20,199 - Connected by ('127.0.0.1', 48822)
2024-05-22 20:32:20,201 - Connected by ('127.0.0.1', 48828)
2024-05-22 20:32:20,215 - Connected by ('127.0.0.1', 48838)
2024-05-22 20:32:20,218 - Connected by ('127.0.0.1', 48846)
2024-05-22 20:32:20,223 - Connected by ('127.0.0.1', 48848)
2024-05-22 20:32:20,229 - Connected by ('127.0.0.1', 48850)
2024-05-22 20:32:20,232 - Connected by ('127.0.0.1', 48864)
2024-05-22 20:32:20,236 - Connected by ('127.0.0.1', 48874)
2024-05-22 20:32:20,238 - Connected by ('127.0.0.1', 48888)
2024-05-22 20:32:20,241 - Connected by ('127.0.0.1', 48904)
2024-05-22 20:32:20,244 - Connected by ('127.0.0.1', 48912)
2024-05-22 20:32:20,247 - Connected by ('127.0.0.1', 48916)
2024-05-22 20:32:20,250 - Connected by ('127.0.0.1', 48926)
2024-05-22 20:32:20,257 - Connected by ('127.0.0.1', 48928)
2024-05-22 20:32:20,263 - Connected by ('127.0.0.1', 48938)
2024-05-22 20:32:20,266 - Connected by ('127.0.0.1', 48948)
2024-05-22 20:32:20,269 - Connected by ('127.0.0.1', 48950)
2024-05-22 20:32:20,272 - Connected by ('127.0.0.1', 48964)
2024-05-22 20:32:20,276 - Connected by ('127.0.0.1', 48966)
2024-05-22 20:32:20,278 - Connected by ('127.0.0.1', 48980)
2024-05-22 20:32:20,282 - Connected by ('127.0.0.1', 48986)
2024-05-22 20:32:20,284 - Connected by ('127.0.0.1', 48992)
2024-05-22 20:32:20,289 - Connected by ('127.0.0.1', 49006)
2024-05-22 20:32:20,293 - Connected by ('127.0.0.1', 49020)
2024-05-22 20:32:20,296 - Connected by ('127.0.0.1', 49024)
2024-05-22 20:32:20,299 - Connected by ('127.0.0.1', 49038)
2024-05-22 20:32:20,302 - Connected by ('127.0.0.1', 49054)
2024-05-22 20:32:20,304 - Connected by ('127.0.0.1', 49068)
2024-05-22 20:32:20,307 - Connected by ('127.0.0.1', 49084)
2024-05-22 20:32:20,310 - Connected by ('127.0.0.1', 49096)
2024-05-22 20:32:20,313 - Connected by ('127.0.0.1', 49098)
2024-05-22 20:32:20,317 - Connected by ('127.0.0.1', 49102)
2024-05-22 20:32:20,320 - Connected by ('127.0.0.1', 49110)
2024-05-22 20:32:20,323 - Connected by ('127.0.0.1', 49114)
2024-05-22 20:32:20,325 - Connected by ('127.0.0.1', 49116)
2024-05-22 20:32:20,329 - Connected by ('127.0.0.1', 49124)
2024-05-22 20:32:20,337 - Connected by ('127.0.0.1', 49136)
2024-05-22 20:32:20,341 - Connected by ('127.0.0.1', 49140)
2024-05-22 20:32:20,344 - Connected by ('127.0.0.1', 49152)
2024-05-22 20:32:20,348 - Connected by ('127.0.0.1', 49164)
2024-05-22 20:32:20,356 - Connected by ('127.0.0.1', 49176)
2024-05-22 20:32:24,230 - Received from ('127.0.0.1', 48266): hello
2024-05-22 20:32:24,383 - Load balancing time: 0.1536s
2024-05-22 20:32:24,514 - Responded to ('127.0.0.1', 48266): Hi there, How can I help  you
2024-05-22 20:34:30,144 - Server started. Listening on 127.0.0.1:8443
2024-05-22 20:34:30,145 - Using model file path: /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:34:30,145 - Attempting to load model from /home/akhilesh/Desktop/DS+Comp_sec/proj/smtg/trained_chatbot.pkl
2024-05-22 20:34:31,244 - Connected by ('127.0.0.1', 50700)
2024-05-22 20:34:31,246 - Connected by ('127.0.0.1', 50702)
2024-05-22 20:34:31,248 - Connected by ('127.0.0.1', 50704)
2024-05-22 20:34:31,253 - Connected by ('127.0.0.1', 50708)
2024-05-22 20:34:31,255 - Connected by ('127.0.0.1', 50716)
2024-05-22 20:34:31,285 - Connected by ('127.0.0.1', 50726)
2024-05-22 20:34:31,287 - Connected by ('127.0.0.1', 50732)
2024-05-22 20:34:31,292 - Connected by ('127.0.0.1', 50738)
2024-05-22 20:34:31,296 - Connected by ('127.0.0.1', 50748)
2024-05-22 20:34:31,298 - Connected by ('127.0.0.1', 50758)
2024-05-22 20:34:31,301 - Connected by ('127.0.0.1', 50774)
2024-05-22 20:34:31,308 - Connected by ('127.0.0.1', 50790)
2024-05-22 20:34:31,310 - Connected by ('127.0.0.1', 50796)
2024-05-22 20:34:31,326 - Connected by ('127.0.0.1', 50798)
2024-05-22 20:34:31,330 - Connected by ('127.0.0.1', 50808)
2024-05-22 20:34:31,338 - Connected by ('127.0.0.1', 50820)
2024-05-22 20:34:31,345 - Connected by ('127.0.0.1', 50832)
2024-05-22 20:34:31,356 - Connected by ('127.0.0.1', 50840)
2024-05-22 20:34:31,370 - Connected by ('127.0.0.1', 50856)
2024-05-22 20:34:31,378 - Connected by ('127.0.0.1', 50858)
2024-05-22 20:34:31,381 - Connected by ('127.0.0.1', 50860)
2024-05-22 20:34:31,390 - Connected by ('127.0.0.1', 50874)
2024-05-22 20:34:31,393 - Connected by ('127.0.0.1', 50882)
2024-05-22 20:34:31,405 - Connected by ('127.0.0.1', 50892)
2024-05-22 20:34:31,412 - Connected by ('127.0.0.1', 50900)
2024-05-22 20:34:31,414 - Connected by ('127.0.0.1', 50902)
2024-05-22 20:34:31,420 - Connected by ('127.0.0.1', 50904)
2024-05-22 20:34:31,442 - Connected by ('127.0.0.1', 50918)
2024-05-22 20:34:31,444 - Connected by ('127.0.0.1', 50920)
2024-05-22 20:34:31,455 - Connected by ('127.0.0.1', 50926)
2024-05-22 20:34:31,471 - Connected by ('127.0.0.1', 50940)
2024-05-22 20:34:31,489 - Connected by ('127.0.0.1', 50954)
2024-05-22 20:34:31,495 - Connected by ('127.0.0.1', 50968)
2024-05-22 20:34:31,503 - Connected by ('127.0.0.1', 50970)
2024-05-22 20:34:31,506 - Connected by ('127.0.0.1', 50974)
2024-05-22 20:34:31,509 - Connected by ('127.0.0.1', 50988)
2024-05-22 20:34:31,519 - Connected by ('127.0.0.1', 50994)
2024-05-22 20:34:31,536 - Connected by ('127.0.0.1', 51002)
2024-05-22 20:34:31,561 - Connected by ('127.0.0.1', 51018)
2024-05-22 20:34:31,572 - Connected by ('127.0.0.1', 51028)
2024-05-22 20:34:31,580 - Connected by ('127.0.0.1', 51032)
2024-05-22 20:34:31,602 - Connected by ('127.0.0.1', 51046)
2024-05-22 20:34:31,607 - Connected by ('127.0.0.1', 51048)
2024-05-22 20:34:31,614 - Connected by ('127.0.0.1', 51056)
2024-05-22 20:34:31,622 - Connected by ('127.0.0.1', 51060)
2024-05-22 20:34:31,625 - Connected by ('127.0.0.1', 51072)
2024-05-22 20:34:31,651 - Connected by ('127.0.0.1', 51084)
2024-05-22 20:34:31,658 - Connected by ('127.0.0.1', 51090)
2024-05-22 20:34:31,665 - Connected by ('127.0.0.1', 51102)
2024-05-22 20:34:31,675 - Connected by ('127.0.0.1', 51108)
2024-05-22 20:34:31,679 - Connected by ('127.0.0.1', 51112)
2024-05-22 20:34:31,682 - Connected by ('127.0.0.1', 51114)
